id,sexo,edad_cat,region,nivel_educativo,imagen
48,femenino,16-29,Región Cuyo,sec,negativa
49,masculino,45-59,Región Patagonia,terc,positiva
50,masculino,60+,Región Patagonia,terc,negativa
51,femenino,45-59,Región Metropolitana,prim,negativa
52,masculino,16-29,Región Metropolitana,univ,positiva
53,masculino,30-44,Región Pampeana,prim,negativa
54,masculino,30-44,Región NEA,sec,negativa
55,femenino,30-44,Región Metropolitana,sec,positiva
56,femenino,45-59,Región Metropolitana,prim,positiva
57,femenino,16-29,Región NEA,sec,positiva
58,femenino,60+,Región Pampeana,prim,negativa
59,femenino,16-29,Región Metropolitana,sec,negativa
60,masculino,30-44,Región Metropolitana,sec,negativa
61,femenino,45-59,Región Pampeana,terc,negativa
62,masculino,30-44,Región Metropolitana,sec,positiva
63,femenino,60+,Región NEA,terc,negativa
64,masculino,16-29,Región NEA,sec,negativa
65,masculino,16-29,Región Metropolitana,sec,positiva
66,masculino,45-59,Región Metropolitana,terc,positiva
67,femenino,60+,Región Pampeana,prim,negativa
68,femenino,45-59,Región Metropolitana,prim,negativa
69,femenino,45-59,Región Patagonia,sec,negativa
70,femenino,60+,Región NEA,prim,negativa
71,femenino,16-29,Región Pampeana,prim,positiva
72,masculino,16-29,Región Cuyo,sec,negativa
73,masculino,30-44,Región Pampeana,sec,negativa
74,femenino,30-44,Región Metropolitana,sec,positiva
75,masculino,16-29,Región Pampeana,prim,negativa
76,femenino,45-59,Región Metropolitana,prim,negativa
77,femenino,60+,Región NOA,terc,positiva
78,femenino,16-29,Región Metropolitana,univ,positiva
79,femenino,45-59,Región Pampeana,sec,negativa
80,masculino,16-29,Región Metropolitana,prim,positiva
81,masculino,30-44,Región Metropolitana,prim,negativa
82,masculino,60+,Región Metropolitana,prim,negativa
83,masculino,16-29,Región Metropolitana,sec,positiva
84,femenino,60+,Región Metropolitana,prim,negativa
85,femenino,16-29,Región Metropolitana,sec,positiva
86,femenino,60+,Región Metropolitana,sec,positiva
87,masculino,16-29,Región Pampeana,prim,positiva
88,femenino,16-29,Región Metropolitana,univ,positiva
89,masculino,16-29,Región NOA,sec,negativa
90,masculino,16-29,Región Metropolitana,terc,negativa
91,masculino,60+,Región Metropolitana,prim,negativa
92,femenino,30-44,Región Metropolitana,univ,negativa
93,masculino,16-29,Región Pampeana,sec,positiva
94,masculino,60+,Región NEA,sec,negativa
95,masculino,16-29,Región NEA,prim,positiva
96,femenino,16-29,Región Metropolitana,univ,positiva
97,femenino,30-44,Región Metropolitana,terc,negativa
98,femenino,30-44,Región Pampeana,sec,positiva
99,femenino,16-29,Región Patagonia,sec,positiva
100,femenino,30-44,Región Metropolitana,univ,negativa
101,masculino,16-29,Región NOA,terc,negativa
102,masculino,45-59,Región Metropolitana,prim,positiva
103,femenino,30-44,Región NOA,terc,positiva
104,femenino,16-29,Región Metropolitana,prim,positiva
105,masculino,30-44,Región Metropolitana,sec,negativa
106,masculino,45-59,Región Metropolitana,terc,positiva
107,femenino,60+,Región NOA,sec,positiva
108,femenino,30-44,Región Metropolitana,univ,negativa
109,femenino,16-29,Región Metropolitana,prim,negativa
110,masculino,16-29,Región Metropolitana,sec,positiva
111,femenino,45-59,Región Pampeana,sec,negativa
112,masculino,16-29,Región Metropolitana,terc,negativa
113,masculino,45-59,Región Metropolitana,sec,negativa
114,masculino,30-44,Región Metropolitana,sec,negativa
115,masculino,16-29,Región Metropolitana,sec,positiva
116,masculino,30-44,Región Metropolitana,univ,positiva
117,femenino,60+,Región Metropolitana,univ,negativa
118,masculino,16-29,Región Pampeana,prim,negativa
119,femenino,30-44,Región Metropolitana,sec,negativa
120,masculino,60+,Región NEA,sec,negativa
121,femenino,60+,Región Metropolitana,prim,positiva
122,femenino,45-59,Región Metropolitana,sec,positiva
123,femenino,16-29,Región Metropolitana,sec,negativa
124,masculino,30-44,Región NOA,pos,positiva
125,masculino,16-29,Región Patagonia,sec,negativa
126,masculino,45-59,Región Metropolitana,prim,negativa
127,masculino,16-29,Región Metropolitana,sec,negativa
128,masculino,60+,Región Pampeana,prim,positiva
129,femenino,16-29,Región Metropolitana,prim,negativa
130,masculino,16-29,Región Pampeana,univ,negativa
131,femenino,30-44,Región Metropolitana,terc,positiva
132,femenino,45-59,Región Metropolitana,univ,positiva
133,femenino,60+,Región Pampeana,sec,negativa
134,masculino,45-59,Región Metropolitana,sec,positiva
135,femenino,30-44,Región Pampeana,sec,positiva
136,femenino,60+,Región Metropolitana,sec,negativa
137,femenino,16-29,Región Cuyo,sec,positiva
138,femenino,45-59,Región Metropolitana,terc,positiva
139,femenino,30-44,Región Pampeana,prim,positiva
140,femenino,30-44,Región Pampeana,prim,positiva
141,femenino,30-44,Región Pampeana,sec,negativa
142,masculino,60+,Región Metropolitana,sec,negativa
143,femenino,30-44,Región Metropolitana,sec,positiva
144,masculino,30-44,Región Metropolitana,sec,negativa
145,femenino,45-59,Región Pampeana,prim,positiva
146,femenino,60+,Región Pampeana,sec,negativa
147,masculino,16-29,Región Pampeana,sec,negativa
148,femenino,30-44,Región Metropolitana,prim,positiva
149,masculino,60+,Región Metropolitana,prim,negativa
150,femenino,16-29,Región NOA,sec,positiva
151,femenino,16-29,Región Pampeana,sec,positiva
152,femenino,45-59,Región Metropolitana,sec,negativa
153,femenino,30-44,Región Metropolitana,sec,positiva
154,masculino,16-29,Región Metropolitana,univ,positiva
155,femenino,16-29,Región Pampeana,prim,positiva
156,masculino,16-29,Región Metropolitana,sec,positiva
157,masculino,16-29,Región Metropolitana,univ,negativa
158,femenino,45-59,Región Metropolitana,terc,positiva
159,femenino,16-29,Región Metropolitana,sec,positiva
160,masculino,16-29,Región Metropolitana,prim,positiva
161,masculino,45-59,Región Cuyo,prim,positiva
162,masculino,45-59,Región Cuyo,prim,positiva
163,femenino,45-59,Región Cuyo,prim,negativa
164,femenino,45-59,Región Metropolitana,prim,negativa
165,femenino,60+,Región NOA,sec,negativa
166,femenino,60+,Región Metropolitana,univ,negativa
167,masculino,16-29,Región Pampeana,sec,negativa
168,masculino,16-29,Región NOA,sec,positiva
169,femenino,30-44,Región Metropolitana,prim,negativa
170,femenino,30-44,Región Metropolitana,terc,negativa
171,femenino,30-44,Región Pampeana,sec,negativa
172,femenino,16-29,Región Metropolitana,sec,negativa
173,femenino,45-59,Región Metropolitana,sec,positiva
174,femenino,16-29,Región Metropolitana,prim,positiva
175,masculino,45-59,Región Metropolitana,sec,positiva
176,femenino,30-44,Región Metropolitana,terc,positiva
177,masculino,16-29,Región Metropolitana,sec,positiva
178,femenino,60+,Región Metropolitana,prim,positiva
179,femenino,60+,Región Metropolitana,sec,negativa
180,masculino,60+,Región Metropolitana,prim,positiva
181,masculino,16-29,Región Metropolitana,sec,negativa
182,femenino,16-29,Región NOA,prim,negativa
183,femenino,60+,Región Patagonia,terc,negativa
184,masculino,16-29,Región Metropolitana,sec,negativa
185,masculino,60+,Región Pampeana,sec,negativa
186,femenino,16-29,Región NEA,sec,positiva
187,femenino,45-59,Región NOA,sec,negativa
188,masculino,45-59,Región Metropolitana,prim,negativa
189,masculino,16-29,Región NOA,sec,negativa
190,femenino,16-29,Región Metropolitana,sec,positiva
191,masculino,16-29,Región Pampeana,univ,negativa
192,masculino,16-29,Región Metropolitana,univ,positiva
193,femenino,30-44,Región Pampeana,prim,negativa
194,femenino,16-29,Región NEA,sec,positiva
195,femenino,30-44,Región Metropolitana,sec,negativa
196,femenino,16-29,Región Metropolitana,sec,positiva
197,femenino,45-59,Región Metropolitana,sec,positiva
198,femenino,16-29,Región Metropolitana,prim,positiva
199,femenino,45-59,Región Cuyo,sec,positiva
200,masculino,16-29,Región Metropolitana,prim,positiva
201,femenino,30-44,Región Metropolitana,sec,negativa
202,masculino,30-44,Región Metropolitana,sec,positiva
203,femenino,16-29,Región Cuyo,sec,negativa
204,femenino,45-59,Región Pampeana,sec,positiva
205,femenino,30-44,Región Metropolitana,prim,negativa
206,masculino,16-29,Región Metropolitana,sec,negativa
207,masculino,16-29,Región NOA,univ,positiva
208,femenino,16-29,Región Patagonia,prim,positiva
209,masculino,45-59,Región Metropolitana,sec,positiva
210,masculino,30-44,Región Metropolitana,prim,negativa
211,masculino,60+,Región NEA,prim,negativa
212,masculino,16-29,Región Cuyo,sec,positiva
213,femenino,30-44,Región Pampeana,sec,positiva
214,femenino,16-29,Región NEA,sec,positiva
215,masculino,16-29,Región Metropolitana,sec,positiva
216,masculino,16-29,Región Metropolitana,sec,positiva
217,masculino,16-29,Región Metropolitana,terc,positiva
218,masculino,30-44,Región NEA,sec,negativa
219,masculino,30-44,Región Metropolitana,sec,negativa
220,masculino,16-29,Región Metropolitana,terc,negativa
221,masculino,60+,Región Metropolitana,prim,negativa
222,femenino,16-29,Región Metropolitana,sec,positiva
223,masculino,45-59,Región Metropolitana,prim,positiva
224,masculino,16-29,Región Metropolitana,sec,positiva
225,masculino,16-29,Región Metropolitana,sec,positiva
226,femenino,30-44,Región Metropolitana,sec,negativa
227,masculino,30-44,Región Metropolitana,prim,positiva
228,masculino,60+,Región Cuyo,prim,positiva
229,masculino,45-59,Región Pampeana,prim,positiva
230,masculino,16-29,Región Cuyo,sec,positiva
231,masculino,30-44,Región NEA,sec,negativa
232,masculino,16-29,Región Metropolitana,sec,positiva
233,femenino,30-44,Región NEA,terc,negativa
234,femenino,16-29,Región Cuyo,terc,positiva
235,femenino,16-29,Región Metropolitana,sec,positiva
236,masculino,45-59,Región Metropolitana,sec,negativa
237,masculino,30-44,Región NOA,sec,positiva
238,masculino,16-29,Región NEA,terc,negativa
239,femenino,16-29,Región NOA,univ,positiva
240,femenino,60+,Región NOA,sec,positiva
241,masculino,45-59,Región Metropolitana,prim,positiva
242,masculino,60+,Región NOA,prim,negativa
243,femenino,45-59,Región Metropolitana,univ,negativa
244,masculino,60+,Región Cuyo,univ,negativa
245,femenino,16-29,Región NEA,terc,negativa
246,femenino,16-29,Región NOA,prim,negativa
247,femenino,45-59,Región Metropolitana,terc,positiva
248,femenino,30-44,Región Metropolitana,sec,negativa
249,masculino,60+,Región Metropolitana,prim,negativa
250,masculino,16-29,Región Metropolitana,sec,positiva
251,femenino,16-29,Región Metropolitana,prim,positiva
252,femenino,30-44,Región Metropolitana,sec,negativa
253,masculino,16-29,Región Metropolitana,prim,negativa
254,femenino,45-59,Región Metropolitana,sec,negativa
255,femenino,16-29,Región Metropolitana,sec,positiva
256,masculino,45-59,Región Metropolitana,sec,positiva
257,masculino,60+,Región Metropolitana,prim,positiva
258,masculino,30-44,Región Metropolitana,prim,negativa
259,femenino,30-44,Región Patagonia,univ,negativa
260,femenino,30-44,Región Patagonia,sec,negativa
261,femenino,30-44,Región Pampeana,univ,negativa
262,femenino,16-29,Región NOA,sec,negativa
263,masculino,45-59,Región Metropolitana,sec,negativa
264,femenino,16-29,Región Metropolitana,terc,positiva
265,femenino,60+,Región Metropolitana,terc,negativa
266,femenino,16-29,Región NOA,univ,positiva
267,femenino,30-44,Región NOA,sec,negativa
268,masculino,16-29,Región Cuyo,sec,positiva
269,femenino,45-59,Región Patagonia,sec,negativa
270,femenino,16-29,Región Metropolitana,sec,positiva
271,femenino,60+,Región Cuyo,sec,positiva
272,masculino,16-29,Región Metropolitana,univ,positiva
273,masculino,60+,Región Metropolitana,sec,positiva
274,masculino,30-44,Región Patagonia,prim,positiva
275,femenino,16-29,Región Metropolitana,sec,positiva
276,femenino,16-29,Región Pampeana,sec,positiva
277,femenino,16-29,Región Pampeana,sec,negativa
278,masculino,16-29,Región Metropolitana,prim,negativa
279,femenino,30-44,Región Pampeana,sec,negativa
280,femenino,16-29,Región Metropolitana,prim,positiva
281,femenino,16-29,Región NOA,sec,positiva
282,masculino,30-44,Región Cuyo,sec,negativa
283,femenino,16-29,Región Metropolitana,prim,positiva
284,masculino,30-44,Región NOA,prim,negativa
285,masculino,16-29,Región Pampeana,sec,negativa
286,femenino,45-59,Región Metropolitana,sec,negativa
287,femenino,60+,Región Pampeana,sec,positiva
288,masculino,60+,Región Metropolitana,sec,negativa
289,masculino,16-29,Región Cuyo,sec,positiva
290,femenino,16-29,Región Cuyo,sec,positiva
291,masculino,45-59,Región NOA,sec,positiva
292,masculino,60+,Región Pampeana,univ,negativa
293,masculino,60+,Región Metropolitana,prim,negativa
294,masculino,45-59,Región Metropolitana,prim,positiva
295,masculino,16-29,Región Metropolitana,prim,positiva
296,masculino,45-59,Región Metropolitana,terc,positiva
297,femenino,45-59,Región Pampeana,sec,negativa
298,femenino,16-29,Región Metropolitana,sec,negativa
299,femenino,16-29,Región NEA,univ,positiva
300,femenino,30-44,Región Metropolitana,terc,negativa
301,masculino,30-44,Región Pampeana,terc,positiva
302,femenino,16-29,Región Pampeana,sec,positiva
303,masculino,30-44,Región Patagonia,prim,negativa
304,femenino,30-44,Región Metropolitana,prim,negativa
305,femenino,16-29,Región Metropolitana,prim,positiva
306,masculino,16-29,Región Metropolitana,prim,positiva
307,femenino,16-29,Región Pampeana,sec,positiva
308,femenino,16-29,Región Pampeana,sec,positiva
309,masculino,45-59,Región Patagonia,prim,positiva
310,femenino,16-29,Región Metropolitana,terc,positiva
311,femenino,30-44,Región Metropolitana,univ,negativa
312,masculino,45-59,Región Metropolitana,sec,negativa
313,femenino,16-29,Región Metropolitana,terc,negativa
314,femenino,60+,Región Metropolitana,terc,negativa
315,femenino,30-44,Región Metropolitana,sec,positiva
316,masculino,30-44,Región Metropolitana,terc,negativa
317,masculino,30-44,Región NOA,sec,positiva
318,masculino,16-29,Región NOA,sec,positiva
319,femenino,30-44,Región Pampeana,sec,negativa
320,masculino,16-29,Región NEA,terc,positiva
321,masculino,16-29,Región Metropolitana,prim,positiva
322,masculino,16-29,Región Metropolitana,prim,negativa
323,femenino,45-59,Región NOA,univ,negativa
324,masculino,60+,Región Metropolitana,sec,negativa
325,femenino,16-29,Región Pampeana,sec,positiva
326,femenino,45-59,Región Metropolitana,sec,negativa
327,masculino,30-44,Región Metropolitana,prim,negativa
328,masculino,30-44,Región Patagonia,sec,negativa
329,masculino,16-29,Región Metropolitana,prim,negativa
330,masculino,60+,Región NOA,prim,positiva
331,masculino,60+,Región NOA,univ,positiva
332,femenino,30-44,Región Pampeana,prim,positiva
333,masculino,60+,Región NOA,univ,positiva
334,femenino,16-29,Región NOA,prim,positiva
335,femenino,45-59,Región Metropolitana,sec,positiva
336,femenino,16-29,Región Pampeana,prim,negativa
337,masculino,16-29,Región NOA,sec,negativa
338,femenino,45-59,Región NEA,sec,positiva
339,masculino,16-29,Región NOA,sec,positiva
340,femenino,30-44,Región Metropolitana,univ,negativa
341,masculino,60+,Región Metropolitana,prim,negativa
342,masculino,16-29,Región Metropolitana,sec,positiva
343,masculino,45-59,Región NEA,prim,negativa
344,femenino,16-29,Región Metropolitana,sec,negativa
345,masculino,16-29,Región Metropolitana,sec,positiva
346,masculino,45-59,Región Metropolitana,prim,positiva
347,femenino,16-29,Región NEA,sec,positiva
348,femenino,60+,Región NOA,sec,negativa
349,femenino,16-29,Región Patagonia,terc,negativa
350,masculino,30-44,Región Metropolitana,prim,positiva
351,masculino,30-44,Región NOA,sec,negativa
352,masculino,60+,Región Metropolitana,sec,negativa
353,femenino,16-29,Región Pampeana,univ,negativa
354,masculino,16-29,Región Pampeana,pos,positiva
355,femenino,30-44,Región NOA,sec,positiva
356,femenino,30-44,Región Metropolitana,sec,positiva
357,masculino,30-44,Región Metropolitana,sec,positiva
358,femenino,30-44,Región Metropolitana,univ,positiva
359,masculino,30-44,Región Patagonia,sec,negativa
360,masculino,45-59,Región Cuyo,terc,negativa
361,masculino,30-44,Región Pampeana,sec,negativa
362,femenino,60+,Región Metropolitana,univ,negativa
363,femenino,16-29,Región Metropolitana,sec,positiva
364,masculino,16-29,Región Pampeana,sec,positiva
365,femenino,45-59,Región Metropolitana,sec,negativa
366,masculino,30-44,Región Metropolitana,univ,negativa
367,masculino,16-29,Región Metropolitana,univ,negativa
368,femenino,45-59,Región Metropolitana,sec,negativa
369,masculino,60+,Región Pampeana,terc,negativa
370,masculino,16-29,Región Metropolitana,univ,positiva
371,femenino,45-59,Región Metropolitana,sec,negativa
372,femenino,60+,Región NOA,sec,negativa
373,femenino,16-29,Región Metropolitana,univ,positiva
374,masculino,16-29,Región Pampeana,terc,positiva
375,masculino,45-59,Región Cuyo,prim,negativa
376,femenino,16-29,Región Metropolitana,sec,negativa
377,femenino,16-29,Región Metropolitana,sec,negativa
378,femenino,60+,Región Patagonia,terc,negativa
379,masculino,16-29,Región Metropolitana,sec,negativa
380,femenino,30-44,Región Pampeana,sec,negativa
381,masculino,45-59,Región Cuyo,sec,negativa
382,femenino,30-44,Región NEA,prim,positiva
383,masculino,16-29,Región Pampeana,sec,positiva
384,femenino,30-44,Región Metropolitana,sec,positiva
385,femenino,45-59,Región Cuyo,terc,negativa
386,masculino,16-29,Región NOA,sec,positiva
387,femenino,16-29,Región Metropolitana,terc,negativa
388,femenino,60+,Región NEA,prim,negativa
389,femenino,30-44,Región Pampeana,prim,negativa
390,femenino,45-59,Región NOA,prim,negativa
391,masculino,30-44,Región NEA,terc,negativa
392,femenino,30-44,Región Metropolitana,sec,positiva
393,masculino,16-29,Región Metropolitana,univ,positiva
394,femenino,45-59,Región Metropolitana,sec,negativa
395,masculino,16-29,Región Metropolitana,sec,positiva
396,femenino,16-29,Región Metropolitana,univ,positiva
397,masculino,60+,Región Metropolitana,sec,negativa
398,femenino,30-44,Región Pampeana,sec,positiva
399,masculino,30-44,Región NOA,sec,negativa
400,femenino,16-29,Región Metropolitana,sec,positiva
401,femenino,16-29,Región Patagonia,sec,positiva
402,masculino,16-29,Región Metropolitana,univ,positiva
403,masculino,30-44,Región Pampeana,sec,positiva
404,masculino,16-29,Región Pampeana,sec,positiva
405,femenino,30-44,Región Metropolitana,univ,positiva
406,masculino,30-44,Región NOA,sec,negativa
407,masculino,30-44,Región Metropolitana,sec,negativa
408,femenino,45-59,Región Patagonia,univ,positiva
409,masculino,45-59,Región Pampeana,sec,negativa
410,masculino,16-29,Región Metropolitana,prim,negativa
411,masculino,30-44,Región Pampeana,sec,negativa
412,femenino,30-44,Región Pampeana,sec,positiva
413,femenino,30-44,Región Metropolitana,sec,negativa
414,femenino,16-29,Región NOA,sec,negativa
415,femenino,30-44,Región NOA,prim,positiva
416,masculino,60+,Región Cuyo,sec,negativa
417,masculino,30-44,Región Metropolitana,prim,negativa
418,masculino,30-44,Región Metropolitana,sec,positiva
419,femenino,16-29,Región Pampeana,sec,positiva
420,masculino,30-44,Región NOA,sec,negativa
421,masculino,16-29,Región Metropolitana,prim,positiva
422,femenino,16-29,Región Pampeana,univ,positiva
423,masculino,16-29,Región Metropolitana,sec,positiva
424,femenino,45-59,Región Pampeana,terc,negativa
425,masculino,16-29,Región Metropolitana,sec,positiva
426,femenino,45-59,Región NEA,terc,negativa
427,femenino,16-29,Región Metropolitana,prim,negativa
428,masculino,60+,Región Metropolitana,sec,negativa
429,masculino,45-59,Región Metropolitana,univ,positiva
430,femenino,16-29,Región Metropolitana,sec,positiva
431,masculino,30-44,Región Patagonia,univ,negativa
432,femenino,16-29,Región Metropolitana,prim,negativa
433,femenino,16-29,Región Metropolitana,prim,negativa
434,masculino,16-29,Región Metropolitana,terc,positiva
435,masculino,45-59,Región Metropolitana,prim,positiva
436,masculino,30-44,Región Metropolitana,sec,positiva
437,femenino,60+,Región Cuyo,prim,positiva
438,masculino,45-59,Región Metropolitana,sec,positiva
439,masculino,45-59,Región NOA,terc,positiva
440,femenino,16-29,Región Metropolitana,sec,positiva
441,masculino,30-44,Región Metropolitana,sec,positiva
442,masculino,60+,Región NEA,terc,negativa
443,femenino,30-44,Región NOA,terc,negativa
444,femenino,16-29,Región Metropolitana,sec,positiva
445,femenino,16-29,Región Metropolitana,univ,positiva
446,femenino,30-44,Región Metropolitana,sec,positiva
447,femenino,30-44,Región Pampeana,univ,negativa
448,femenino,16-29,Región Metropolitana,terc,negativa
449,femenino,60+,Región NEA,univ,negativa
450,masculino,30-44,Región Pampeana,terc,positiva
451,masculino,30-44,Región Metropolitana,pos,positiva
452,femenino,30-44,Región NEA,sec,positiva
453,masculino,30-44,Región Metropolitana,prim,positiva
454,femenino,30-44,Región Patagonia,terc,negativa
455,femenino,45-59,Región Patagonia,terc,positiva
456,masculino,30-44,Región Pampeana,sec,positiva
457,masculino,30-44,Región NOA,sec,positiva
458,masculino,16-29,Región Metropolitana,prim,positiva
459,femenino,16-29,Región NOA,sec,positiva
460,masculino,60+,Región Patagonia,prim,positiva
461,femenino,30-44,Región Metropolitana,sec,positiva
462,femenino,60+,Región NOA,prim,negativa
463,masculino,30-44,Región Metropolitana,sec,positiva
464,masculino,16-29,Región NOA,sec,positiva
465,femenino,30-44,Región Patagonia,univ,positiva
466,masculino,16-29,Región Pampeana,prim,positiva
467,masculino,30-44,Región Pampeana,sec,negativa
468,femenino,16-29,Región Pampeana,terc,negativa
469,femenino,60+,Región NOA,prim,negativa
470,masculino,16-29,Región Metropolitana,univ,negativa
471,masculino,30-44,Región Metropolitana,univ,negativa
472,masculino,16-29,Región NOA,pos,negativa
473,masculino,16-29,Región Metropolitana,sec,positiva
474,masculino,16-29,Región Metropolitana,prim,negativa
475,femenino,30-44,Región Metropolitana,sec,positiva
476,femenino,30-44,Región Metropolitana,prim,negativa
477,femenino,30-44,Región Cuyo,prim,positiva
478,femenino,30-44,Región Pampeana,sec,positiva
479,masculino,16-29,Región Metropolitana,pos,negativa
480,masculino,16-29,Región Metropolitana,terc,negativa
481,femenino,16-29,Región Cuyo,sec,positiva
482,masculino,45-59,Región Metropolitana,univ,negativa
483,masculino,45-59,Región Pampeana,sec,negativa
484,masculino,60+,Región Patagonia,sec,positiva
485,femenino,16-29,Región Metropolitana,sec,negativa
486,femenino,30-44,Región Pampeana,sec,negativa
487,masculino,45-59,Región Metropolitana,prim,negativa
488,masculino,16-29,Región Cuyo,sec,positiva
489,femenino,16-29,Región Metropolitana,sec,positiva
490,femenino,16-29,Región Metropolitana,terc,positiva
491,masculino,16-29,Región Metropolitana,sec,positiva
492,femenino,16-29,Región Metropolitana,prim,positiva
493,masculino,30-44,Región Pampeana,terc,negativa
494,femenino,16-29,Región Metropolitana,terc,positiva
495,femenino,45-59,Región NOA,terc,positiva
496,masculino,16-29,Región Patagonia,sec,negativa
497,masculino,45-59,Región Metropolitana,sec,negativa
498,masculino,45-59,Región Cuyo,univ,negativa
499,femenino,16-29,Región NEA,sec,positiva
500,femenino,16-29,Región Pampeana,univ,negativa
501,masculino,45-59,Región Metropolitana,univ,positiva
502,masculino,45-59,Región NEA,univ,positiva
503,masculino,30-44,Región Cuyo,prim,negativa
504,masculino,16-29,Región Pampeana,sec,positiva
505,femenino,30-44,Región Metropolitana,sec,positiva
506,masculino,30-44,Región NOA,prim,negativa
507,masculino,30-44,Región Pampeana,prim,positiva
508,masculino,30-44,Región Metropolitana,prim,positiva
509,femenino,30-44,Región Pampeana,sec,negativa
510,masculino,16-29,Región NOA,sec,negativa
511,femenino,16-29,Región Pampeana,prim,positiva
512,femenino,16-29,Región NOA,sec,negativa
513,femenino,16-29,Región NOA,sec,negativa
514,femenino,16-29,Región Pampeana,prim,positiva
515,masculino,16-29,Región NEA,sec,negativa
516,masculino,30-44,Región Metropolitana,sec,negativa
517,masculino,16-29,Región Metropolitana,prim,positiva
518,masculino,30-44,Región Metropolitana,prim,positiva
519,femenino,60+,Región Metropolitana,prim,negativa
520,masculino,16-29,Región Metropolitana,prim,negativa
521,masculino,16-29,Región Pampeana,prim,negativa
522,masculino,30-44,Región Metropolitana,prim,negativa
523,femenino,16-29,Región Cuyo,sec,positiva
524,femenino,16-29,Región NEA,prim,positiva
525,femenino,30-44,Región Metropolitana,sec,positiva
526,femenino,16-29,Región Patagonia,terc,negativa
527,masculino,16-29,Región NOA,sec,negativa
528,femenino,45-59,Región Metropolitana,terc,positiva
529,femenino,30-44,Región Metropolitana,prim,positiva
530,femenino,30-44,Región Metropolitana,terc,negativa
531,femenino,16-29,Región Metropolitana,prim,negativa
532,masculino,16-29,Región Pampeana,univ,positiva
533,masculino,16-29,Región Metropolitana,sec,negativa
534,femenino,30-44,Región Metropolitana,sec,negativa
535,masculino,16-29,Región Patagonia,prim,negativa
536,femenino,45-59,Región NOA,sec,negativa
537,femenino,16-29,Región NOA,sec,positiva
538,masculino,16-29,Región Metropolitana,sec,positiva
539,masculino,16-29,Región Pampeana,prim,negativa
540,masculino,16-29,Región Metropolitana,prim,positiva
541,femenino,16-29,Región Pampeana,prim,positiva
542,masculino,30-44,Región Patagonia,prim,positiva
543,masculino,30-44,Región Metropolitana,terc,negativa
544,masculino,30-44,Región Metropolitana,univ,negativa
545,femenino,30-44,Región NOA,sec,positiva
546,femenino,16-29,Región Pampeana,sec,negativa
547,femenino,16-29,Región Pampeana,prim,negativa
548,masculino,60+,Región Pampeana,sec,positiva
549,femenino,16-29,Región Metropolitana,prim,positiva
550,femenino,16-29,Región Cuyo,prim,positiva
551,femenino,45-59,Región Pampeana,prim,negativa
552,masculino,30-44,Región Pampeana,sec,negativa
553,femenino,60+,Región Metropolitana,univ,negativa
554,masculino,30-44,Región Metropolitana,sec,negativa
555,masculino,45-59,Región Patagonia,sec,positiva
556,masculino,16-29,Región Metropolitana,sec,positiva
557,femenino,16-29,Región Cuyo,univ,negativa
